Source,City,Distance,Average(ms),%of SOL f/0,min,max,mdev,Last Checked
Durres,Drobeta-Turnu-Sevenin,507.0km,24.31,7.32%,38.19ms,39.27ms,0.32ms,2022-01-07 04:31:56
Durres,Timisoara,537.0km,25.905,8.43%,44.08ms,55.24ms,3.24ms,2022-01-07 05:03:10
Durres,Dunaujvaros,773.0km,16.259999999999998,25.52%,27.13ms,28.31ms,0.39ms,2022-01-07 04:06:13
Durres,Stuttgart,1391.0km,30.090000000000003,25.90%,48.59ms,49.00ms,0.23ms,2022-01-07 04:43:27
Durres,Lille,1661.0km,30.38,32.94%,49.62ms,52.28ms,0.74ms,2022-01-07 04:38:12
Durres,Walserberg,1127.0km,34.77,19.17%,46.20ms,107.99ms,16.75ms,2022-01-07 04:30:43
Durres,Sofia,328.0km,14.59,11.31%,29.09ms,29.45ms,0.08ms,2022-01-07 04:42:26
Durres,Varna,698.0km,20.49,17.45%,40.39ms,41.45ms,0.32ms,2022-01-07 04:47:06
Durres,Istanbul,767.0km,18.89,20.73%,37.65ms,38.05ms,0.15ms,2022-01-07 04:20:12
Durres,Beirut,1604.0km,49.67,16.20%,96.82ms,113.78ms,3.16ms,2022-01-07 05:02:47
Durres,Milan,973.0km,22.32,22.11%,44.51ms,44.79ms,0.26ms,2022-01-07 04:29:05
Durres,Venice,759.0km,25.445,15.18%,50.73ms,52.06ms,0.39ms,2022-01-07 04:47:19
Durres,Rome,611.0km,20.435,15.28%,40.77ms,40.94ms,0.19ms,2022-01-07 04:37:36
Durres,Lyon,1307.0km,32.805,20.11%,65.40ms,65.90ms,0.32ms,2022-01-07 04:26:39
Durres,Tirana,37.4km,5.187
Durres,Tel-Aviv,1687.0km,44.005,19.17%,87.88ms,88.28ms,0.12ms,2022-01-07 04:44:53
Durres,Thessaloniki,269.0km,26.685,5.08%,47.46ms,119.42ms,17.32ms,2022-01-07 04:45:17
Durres,Athens,501.0km,20.74,12.22%,41.37ms,41.65ms,0.19ms,2022-01-07 05:00:44
Durres,Palermo,656.0km,33.05,9.94%,65.99ms,66.31ms,0.28ms,2022-01-07 04:33:33
Durres,Bucharest,616.0km,17.92,17.60%,34.04ms,68.48ms,6.17ms,2022-01-07 04:06:00
Durres,Bratislava,787.0km,30.36,13.12%,60.59ms,60.88ms,0.09ms,2022-01-07 05:04:35
Durres,Budapest,689.0km,13.84,25.52%,27.13ms,28.31ms,0.39ms,2022-01-07 04:06:13
Durres,Zurich,1119.0km,27.52,20.35%,54.78ms,59.18ms,0.80ms,2022-01-07 04:49:32
Durres,London,1891.0km,26.375,36.37%,52.03ms,63.20ms,2.09ms,2022-01-07 04:25:52
Durres,Amsterdam,1670.0km,23.735,35.53%,47.33ms,47.78ms,0.25ms,2022-01-07 05:00:23
Durres,Frankfurt,1302.0km,19.75,33.38%,39.42ms,39.64ms,0.15ms,2022-01-07 04:14:56
Durres,Paris,1602.0km,24.15,33.38%,47.92ms,51.38ms,0.66ms,2022-01-07 04:33:57
Durres,Vienna,812.0km,24.905,16.57%,49.69ms,50.24ms,0.20ms,2022-01-07 04:47:30
Durres,Nuremberg,1130.0km,21.745,26.28%,43.41ms,43.59ms,0.19ms,2022-01-07 04:32:19
Durres,New-York,7412.0km,59.98,62.29%,119.83ms,120.93ms,0.38ms,2022-01-07 04:31:44
Durres,Los-Angeles,10604.0km,93.47,57.01%,186.70ms,187.19ms,0.52ms,2022-01-07 04:26:04
Durres,Orlando,8809.0km,74.79,59.12%,149.50ms,149.77ms,0.43ms,2022-01-07 04:32:45
Durres,Piscataway,7480.0km,63.55,58.90%,127.03ms,127.25ms,0.32ms,2022-01-07 04:34:57
Durres,StLouis,8652.0km,70.545,61.36%,140.67ms,144.94ms,0.90ms,2022-01-07 04:42:50
Durres,Valencia,1718.0km,32.54,26.43%,64.92ms,65.48ms,0.24ms,2022-01-07 04:46:29
Durres,Westpoort,1672.0km,23.635,35.57%,47.11ms,47.61ms,0.17ms,2022-01-07 04:48:44
Durres,Zagreb,587.0km,19.845,15.05%,39.62ms,39.77ms,0.26ms,2022-01-07 04:49:08
Durres,Chicago,8250.0km,71.16,58.10%,142.23ms,142.42ms,0.46ms,2022-01-07 04:09:14
Durres,Barcelona,1470.0km,33.66,21.94%,67.05ms,67.53ms,0.28ms,2022-01-07 05:02:20
Russe,Dubrovnik,889.0km,27.450000000000003,18.12%,34.02ms,34.85ms,0.28ms,2022-01-07 04:45:28
Russe,Durres,653.4km,22.272000000000002,18.12%,34.02ms,34.85ms,0.28ms,2022-01-07 04:45:28
Russe,Pleven,456.0km,11.6099,32.56%,9.44ms,10.34ms,0.21ms,2022-01-07 04:42:26
Russe,Stara-Zagora,525.0km,10.955,32.56%,9.44ms,10.34ms,0.21ms,2022-01-07 04:42:26
Russe,Novorossiysk,2402.0km,47.62,18.42%,84.18ms,89.92ms,1.13ms,2022-01-07 04:44:41
Russe,Skopje,532.0km,27.075,12.63%,34.96ms,36.87ms,0.46ms,2022-01-07 04:35:44
Russe,Otranto,1602.0km,46.7,15.78%,67.50ms,71.44ms,0.82ms,2022-01-07 04:15:18
Russe,Bitola,816.0km,20.085,18.12%,34.02ms,34.85ms,0.28ms,2022-01-07 04:45:28
Russe,Bar,816.0km,22.085,18.12%,34.02ms,34.85ms,0.28ms,2022-01-07 04:45:28
Russe,Edirne,684.0km,29.490000000000002,10.60%,42.30ms,45.39ms,0.58ms,2022-01-07 04:20:11
Russe,Kastanies,608.0km,10.370000000000001,32.56%,9.44ms,10.34ms,0.21ms,2022-01-07 04:42:26
Russe,OPTEGLOBE-TBN,755.0km,26.055,21.26%,21.92ms,70.01ms,12.66ms,2022-01-07 05:00:44
Russe,Svilengrad,722.0km,31.68,10.60%,42.30ms,45.39ms,0.58ms,2022-01-07 04:20:11
Russe,Genova,1481.0km,19.955,44.43%,30.19ms,31.85ms,0.33ms,2022-01-07 04:29:04
Russe,Marseille,1991.0km,39.235,30.49%,54.51ms,61.63ms,1.56ms,2022-01-07 04:26:38
Russe,Bari,1404.0km,43.71,15.78%,67.50ms,71.44ms,0.82ms,2022-01-07 04:15:18
Russe,Bologna,1319.0km,28.535,21.55%,52.94ms,55.68ms,0.70ms,2022-01-07 05:00:26
Russe,Cornwall-Stations,2362.0km,32.315,44.71%,48.26ms,51.48ms,0.58ms,2022-01-07 04:15:55
Russe,Valery,2066.0km,26.645000000000003,50.57%,36.81ms,39.46ms,0.71ms,2022-01-07 04:33:57
Russe,Derna,2642.0km,49.339999999999996,20.74%,80.20ms,81.92ms,0.42ms,2022-01-07 04:07:01
